,city,lat,lon,maxtemp,humidity,cloudiness,windspeed,country,datetime
328,upernavik,72.79,-56.15,23.94,96,100,9.93,GL,1607457631
329,honiara,-9.43,159.95,75.2,94,20,1.61,SB,1607457688
330,quatre cocos,-20.21,57.76,77.0,83,40,14.99,MU,1607458117
331,kitgum,3.28,32.89,74.66,57,58,2.51,UG,1607458117
332,ambilobe,-13.2,49.05,76.15,88,100,2.98,MG,1607458117
333,mayo,38.89,-76.51,46.0,36,1,11.41,US,1607457778
334,nioro,13.35,-15.75,82.71,23,0,7.25,GM,1607457761
335,ardatov,55.24,43.1,19.0,88,0,4.18,RU,1607458117
336,pindi bhattian,31.9,73.27,59.05,65,67,6.96,PK,1607458118
337,vostok,46.49,135.88,-2.43,94,29,5.01,RU,1607457782
338,manokwari,-0.87,134.08,80.15,74,100,5.01,ID,1607458118
339,ust-kuyga,70.02,135.6,-31.27,82,100,6.62,RU,1607458118
340,alamos,27.02,-108.93,82.0,25,0,7.0,MX,1607458118
341,saint george,37.1,-113.58,57.99,22,1,3.36,US,1607457326
342,kidal,18.44,1.41,76.44,26,0,11.9,ML,1607458118
343,benguela,-12.58,13.41,74.8,78,100,3.13,AO,1607457932
344,san-pedro,4.75,-6.64,78.08,87,60,4.5,CI,1607458119
345,marathon,44.9,-89.77,30.0,86,90,12.75,US,1607458119
346,grand gaube,-20.01,57.66,75.0,83,62,7.0,MU,1607457710
347,kassala,15.45,36.4,70.3,58,0,11.43,SD,1607458119
348,pimentel,-6.84,-79.93,77.0,61,0,16.11,PE,1607458119
349,lorengau,-2.02,147.27,81.34,71,97,1.79,PG,1607457616
350,chapais,49.78,-74.85,8.6,92,1,3.36,CA,1607457742
351,buraydah,26.33,43.98,59.0,87,0,5.82,SA,1607457694
352,half moon bay,37.46,-122.43,66.99,48,75,3.36,US,1607457709
353,vung tau,10.35,107.08,76.55,86,100,0.81,VN,1607458120
354,shingu,33.73,135.98,47.32,69,100,6.53,JP,1607458120
355,sayyan,15.17,44.32,48.07,62,0,3.62,YE,1607458121
356,petrozavodsk,61.78,34.35,12.2,92,0,7.47,RU,1607458093
357,ardee,53.86,-6.54,39.99,82,0,5.01,IE,1607458121
358,bakel,14.9,-12.46,83.1,22,0,8.93,SN,1607458121
359,rabo de peixe,37.8,-25.58,60.8,67,40,10.29,PT,1607458121
360,hamilton,39.18,-84.53,37.99,59,90,3.36,US,1607457616
361,verkhnevilyuysk,63.45,120.32,-29.99,85,100,3.91,RU,1607458122
362,kudat,6.88,116.85,75.2,100,40,1.12,MY,1607458132
363,buenaventura,3.88,-77.03,75.88,92,100,4.76,CO,1607458132
364,vittorio veneto,45.98,12.3,44.01,92,100,8.79,IT,1607458132
365,najran,17.49,44.13,60.8,41,0,1.39,SA,1607457693
366,constitucion,-35.33,-72.42,65.08,59,0,20.65,CL,1607457620
367,iqaluit,63.75,-68.51,23.0,73,75,8.05,CA,1607457445
368,vallenar,-28.57,-70.76,82.13,30,0,9.71,CL,1607457540
369,labuhan,-6.88,112.21,80.22,84,100,15.28,ID,1607457802
370,ouesso,1.61,16.05,76.87,77,38,5.23,CG,1607457916
371,ojinaga,29.57,-104.42,64.99,25,1,5.82,MX,1607458133
372,guerrero negro,27.98,-114.06,75.92,21,0,9.33,MX,1607457657
373,iwaki,37.05,140.88,45.0,72,100,7.16,JP,1607458133
374,linkoping,58.41,15.62,37.4,93,100,8.05,SE,1607458134
375,japura,-0.32,102.35,74.1,98,100,2.17,ID,1607458134
376,kimbe,-5.55,150.14,76.42,90,100,5.53,PG,1607458134
377,coihaique,-45.58,-72.07,59.0,58,75,10.29,CL,1607457634
378,atar,20.52,-13.05,66.61,26,2,10.27,MR,1607457668
379,brae,60.4,-1.35,46.4,75,20,23.04,GB,1607458134
380,tenenkou,14.46,-4.92,81.68,24,0,12.3,ML,1607458135
381,ilulissat,69.22,-51.1,24.8,49,40,10.29,GL,1607457797
382,mumias,0.34,34.49,63.72,89,66,3.62,KE,1607458135
